,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR,COUNTYFP
214,Bernalillo,Precinct 296,131,175,37,0,0,0,0,0,128,211,182,154,150,183,001
215,Bernalillo,Precinct 297,251,343,79,11,0,0,0,0,263,390,349,302,302,344,001
216,Bernalillo,Precinct 298,252,362,91,0,0,0,0,0,241,438,362,314,322,343,001
217,Bernalillo,Precinct 299,290,345,94,15,8,0,0,0,294,434,418,300,355,343,001
218,Bernalillo,Precinct 300,143,164,62,6,0,0,0,0,146,217,203,160,171,186,001
219,Bernalillo,Precinct 301,226,246,61,7,9,0,0,0,253,272,346,178,306,204,001
220,Bernalillo,Precinct 302,619,613,158,13,7,0,0,0,669,701,896,454,820,498,001
221,Bernalillo,Precinct 303,114,184,34,7,0,0,0,0,124,204,166,162,139,183,001
222,Bernalillo,Precinct 304,175,202,41,0,0,0,0,0,193,220,274,133,228,163,001
223,Bernalillo,Precinct 305,155,299,63,7,0,0,0,0,157,348,257,249,198,296,001
224,Bernalillo,Precinct 306,152,151,51,0,0,0,0,0,157,197,208,143,173,171,001
225,Bernalillo,Precinct 307,219,265,63,6,0,0,0,0,235,299,352,187,284,237,001
226,Bernalillo,Precinct 308,174,179,54,0,8,0,0,0,173,231,272,128,230,163,001
227,Bernalillo,Precinct 311,94,269,31,9,8,0,0,0,98,305,186,214,142,252,001
228,Bernalillo,Precinct 312,85,319,40,8,0,0,0,0,96,351,167,278,117,321,001
229,Bernalillo,Precinct 313,68,171,25,10,0,0,0,0,68,203,109,157,75,182,001
230,Bernalillo,Precinct 314,163,244,41,9,0,0,0,0,161,289,246,202,206,230,001
231,Bernalillo,Precinct 315,140,212,51,0,0,0,0,0,127,267,231,164,161,219,001
232,Bernalillo,Precinct 316,172,263,50,6,6,0,0,0,157,329,258,218,218,251,001
233,Bernalillo,Precinct 317,101,197,42,8,0,0,0,0,92,241,164,169,127,202,001
234,Bernalillo,Precinct 318,114,293,49,0,0,0,0,0,115,325,157,266,129,294,001
235,Bernalillo,Precinct 321,69,199,40,0,0,0,0,0,86,218,121,174,109,189,001
236,Bernalillo,Precinct 322,66,150,27,7,0,0,0,0,66,172,112,130,83,149,001
237,Bernalillo,Precinct 323,101,252,41,7,0,0,0,0,103,273,157,223,113,263,001
238,Bernalillo,Precinct 324,387,527,104,15,22,0,0,0,412,605,571,443,483,514,001
239,Bernalillo,Precinct 326,80,248,51,0,0,0,0,0,95,262,147,208,120,226,001
240,Bernalillo,Precinct 327,163,266,53,0,0,0,0,0,159,309,226,234,179,281,001
241,Bernalillo,Precinct 328,437,489,123,12,13,0,0,0,444,595,619,415,556,470,001
242,Bernalillo,Precinct 329,132,212,46,0,0,0,0,0,129,254,167,214,155,222,001
243,Bernalillo,Precinct 330,100,160,38,10,0,0,0,0,104,188,142,143,123,164,001
244,Bernalillo,Precinct 331,77,190,30,0,0,0,0,0,88,198,114,176,98,185,001
245,Bernalillo,Precinct 332,207,239,70,0,0,0,0,0,212,297,292,219,238,259,001
246,Bernalillo,Precinct 333,436,364,97,0,9,0,0,0,450,432,606,288,530,343,001
247,Bernalillo,Precinct 341,72,294,19,14,0,0,0,0,75,320,163,227,113,267,001
248,Bernalillo,Precinct 342,25,209,22,10,0,0,0,0,25,231,76,174,51,198,001
249,Bernalillo,Precinct 343,59,347,43,13,0,0,0,0,80,372,174,276,112,331,001
250,Bernalillo,Precinct 344,118,451,65,14,0,0,0,0,136,487,297,328,219,391,001
251,Bernalillo,Precinct 345,146,544,93,14,9,0,0,0,182,591,326,434,245,503,001
252,Bernalillo,Precinct 346,109,200,52,9,0,0,0,0,115,236,148,201,118,231,001
253,Bernalillo,Precinct 347,152,231,58,6,0,0,0,0,166,271,201,235,169,260,001
254,Bernalillo,Precinct 351,29,271,29,7,0,0,0,0,38,286,106,220,53,260,001
255,Bernalillo,Precinct 352,68,353,27,10,0,0,0,0,69,381,138,303,94,335,001
256,Bernalillo,Precinct 353,22,205,18,8,0,0,0,0,26,221,69,169,39,194,001
257,Bernalillo,Precinct 354,56,332,30,7,0,0,0,0,83,335,184,230,121,287,001
258,Bernalillo,Precinct 355,42,407,25,6,0,0,0,0,61,418,148,320,74,388,001
259,Bernalillo,Precinct 356,46,324,26,9,0,0,0,0,45,353,126,268,83,305,001
260,Bernalillo,Precinct 357,23,216,18,8,0,0,0,0,31,228,80,171,53,196,001
261,Bernalillo,Precinct 358,80,277,60,14,0,0,0,0,115,295,133,259,115,270,001
262,Bernalillo,Precinct 371,138,416,53,7,0,0,0,0,144,455,292,293,232,350,001
263,Bernalillo,Precinct 372,68,193,32,8,0,0,0,0,74,226,114,175,90,202,001
264,Bernalillo,Precinct 373,83,204,36,6,6,0,0,0,98,232,151,173,129,198,001
